symbol,ticker,company_name,industry_constituent,market_cap,sector,industry,meta_updated_at,date,open,high,low,close,prev_close,pct_change,volume,avg_volume_20,unusual_volume_ratio,volatility_20d_pct,move_vs_vol,rsi_14,sma_50,sma_200,crossover
360ONE,360ONE.NS,360 ONE WAM Ltd.,Financial Services,410240417792.0,Financial Services,Asset Management,2026-03-25,2026-03-25,999.7999877929688,1018.7999877929688,992.0999755859375,1010.0,989.2999877929688,2.0923898172899857,407235.0,775430.35,0.525172892704032,2.0566787108129083,1.0173634833138145,39.09150278848513,1100.7840075683594,1109.9696936035157,None
3MINDIA,3MINDIA.NS,3M India Ltd.,Diversified,359750008832.0,Industrials,Conglomerates,2026-03-25,2026-03-25,31565.0,32220.0,31545.0,31880.0,31560.0,1.0139416983523386,1519.0,4145.4,0.36643026004728135,2.2139439328802974,0.4579798446084497,36.48608971543368,34723.5,32300.4850390625,None
ABB,ABB.NS,ABB India Ltd.,Capital Goods,1322596958208.0,Industrials,Specialty Industrial Machinery,2026-03-25,2026-03-25,6200.0,6290.0,6200.0,6236.0,6162.0,1.2009087958455122,119672.0,377425.9,0.31707415945752526,2.0667604010949336,0.5810585470910375,56.23852672796154,5727.05,5434.445939941406,None
ACC,ACC.NS,ACC Ltd.,Construction Materials,258169946112.0,Basic Materials,Building Materials,2026-03-25,2026-03-25,1340.0,1383.300048828125,1340.0,1375.0,1334.300048828125,3.050284769727818,126849.0,240022.65,0.5284876239804869,2.033717091466874,1.499856977416518,34.23526938032745,1586.8919970703125,1779.6494219970702,None
ACMESOLAR,ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power,155413577728.0,Utilities,Utilities - Renewable,2026-03-25,2026-03-25,251.0,257.75,251.0,255.55999755859375,249.10000610351562,2.5933325157742493,530727.0,1887908.85,0.2811189745733752,3.501656894111475,0.7406015478373394,59.075047516989336,228.6021221923828,255.41971809387206,None
AIAENG,AIAENG.NS,AIA Engineering Ltd.,Capital Goods,322477883392.0,Industrials,Specialty Industrial Machinery,2026-03-25,2026-03-25,3395.0,3455.89990234375,3344.10009765625,3447.0,3378.300048828125,2.033565704020446,38095.0,84634.55,0.45011168606674223,2.416525806357403,0.8415245136925644,37.911342297677955,3817.5880078125,3504.7568176269533,None
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,556541214720.0,Basic Materials,Steel,2026-03-25,2026-03-25,2000.0,2023.5,1981.5999755859375,2002.9000244140625,1974.4000244140625,1.4434764813405998,231049.0,663400.55,0.3482797836088619,2.7613613261965027,0.5227408914750188,46.3344558840019,2086.1099951171873,1820.8212969970702,None
AUBANK,AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,682624286720.0,Financial Services,Banks - Regional,2026-03-25,2026-03-25,889.9000244140625,915.5499877929688,881.8499755859375,915.0,877.5,4.2735042735042805,1054344.0,3656927.35,0.28831417720125063,2.536558721419607,1.6847645739155517,46.87101671053466,965.3669982910156,863.3069293212891,None
AWL,AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods,245792636928.0,Consumer Defensive,Packaged Foods,2026-03-25,2026-03-25,181.02999877929688,189.89999389648438,181.02999877929688,189.14999389648438,180.13999938964844,5.001662338938417,2179212.0,6138694.95,0.3549959751624407,3.4678398251917444,1.4422991231037796,52.20544296739585,197.39379974365235,243.82799972534178,None
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,203190435840.0,Financial Services,Mortgage Finance,2026-03-25,2026-03-25,467.95001220703125,469.8999938964844,464.54998779296875,465.95001220703125,462.79998779296875,0.6806448783813757,48690.0,554953.3,0.08773711229395338,2.625748583479642,0.25921936420865743,49.513837046843605,469.86299987792967,487.53649978637696,None
