date,client_type,source_kind,long_value,short_value,net_value,buy_value,sell_value,net_flow
2026-03-16,DII,volume,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,FII,volume,0.0,0.0,0.0,0.0,0.0,0.0
