ticker,market_cap,sector,industry,meta_updated_at
JSWCEMENT.NS,157309288448.0,Basic Materials,Building Materials,2026-03-25
JSWENERGY.NS,873585180672.0,Utilities,Utilities - Independent Power Producers,2026-03-25
JSWINFRA.NS,537543344128.0,Industrials,Marine Shipping,2026-03-25
JSWSTEEL.NS,2824436711424.0,Basic Materials,Steel,2026-03-25
JPPOWER.NS,106427596800.0,Utilities,Utilities - Independent Power Producers,2026-03-25
J&KBANK.NS,131040714752.0,Financial Services,Banks - Regional,2026-03-25
JINDALSAW.NS,118650740736.0,Basic Materials,Steel,2026-03-25
JSL.NS,604909207552.0,Basic Materials,Steel,2026-03-25
JINDALSTEL.NS,1156680515584.0,Basic Materials,Steel,2026-03-25
JIOFIN.NS,1530154188800.0,Financial Services,Asset Management,2026-03-25
JUBLFOOD.NS,307925745664.0,Consumer Cyclical,Restaurants,2026-03-25
JUBLINGREA.NS,94067318784.0,Basic Materials,Specialty Chemicals,2026-03-25
JUBLPHARMA.NS,138010935296.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
JWL.NS,113680523264.0,Industrials,Railroads,2026-03-25
JYOTHYLAB.NS,79685541888.0,Consumer Defensive,Household & Personal Products,2026-03-25
JYOTICNC.NS,174569963520.0,Industrials,Specialty Industrial Machinery,2026-03-25
KPRMILL.NS,287770345472.0,Consumer Cyclical,Textile Manufacturing,2026-03-25
KEI.NS,402574082048.0,Industrials,Electrical Equipment & Parts,2026-03-25
KPITTECH.NS,184265637888.0,Technology,Software - Infrastructure,2026-03-25
KSB.NS,141050085376.0,Industrials,Specialty Industrial Machinery,2026-03-25
KAJARIACER.NS,150090235904.0,Industrials,Building Products & Equipment,2026-03-25
KPIL.NS,187952250880.0,Industrials,Engineering & Construction,2026-03-25
KALYANKJIL.NS,409300008960.0,Consumer Cyclical,Luxury Goods,2026-03-25
KARURVYSYA.NS,279401201664.0,Financial Services,Banks - Regional,2026-03-25
KAYNES.NS,250490929152.0,Technology,Electronic Components,2026-03-25
KEC.NS,148592836608.0,Industrials,Engineering & Construction,2026-03-25
KFINTECH.NS,162336505856.0,Technology,Software - Application,2026-03-25
KIRLOSBROS.NS,120954388480.0,Industrials,Specialty Industrial Machinery,2026-03-25
KIRLOSENG.NS,202631397376.0,Industrials,Specialty Industrial Machinery,2026-03-25
KOTAKBANK.NS,3676848783360.0,Financial Services,Banks - Regional,2026-03-25
KIMS.NS,255408685056.0,Healthcare,Medical Care Facilities,2026-03-25
LTF.NS,662159687680.0,Financial Services,Credit Services,2026-03-25
LTTS.NS,336448716800.0,Technology,Information Technology Services,2026-03-25
LICHSGFIN.NS,272583704576.0,Financial Services,Mortgage Finance,2026-03-25
LTFOODS.NS,135063904256.0,Consumer Defensive,Packaged Foods,2026-03-25
LTM.NS,1265289003008.0,Technology,Information Technology Services,2026-03-25
LT.NS,4997533663232.0,Industrials,Engineering & Construction,2026-03-25
LATENTVIEW.NS,56976793600.0,Industrials,Consulting Services,2026-03-25
LAURUSLABS.NS,548248485888.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
THELEELA.NS,138058186752.0,Consumer Cyclical,Lodging,2026-03-25
LEMONTREE.NS,85147369472.0,Consumer Cyclical,Lodging,2026-03-25
LICI.NS,4948678410240.0,Financial Services,Insurance - Life,2026-03-25
LINDEINDIA.NS,631700258816.0,Basic Materials,Specialty Chemicals,2026-03-25
LLOYDSME.NS,744379383808.0,Basic Materials,Steel,2026-03-25
LODHA.NS,743117815808.0,Real Estate,Real Estate - Development,2026-03-25
LUPIN.NS,1074050891776.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
MMTC.NS,86477111296.0,Industrials,Conglomerates,2026-03-25
MRF.NS,550882050048.0,Consumer Cyclical,Auto Parts,2026-03-25
MGL.NS,94066073600.0,Utilities,Utilities - Regulated Gas,2026-03-25
