ticker,market_cap,sector,industry,meta_updated_at
ABBOTINDIA.NS,571181236224.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
ACE.NS,98580611072.0,Industrials,Farm & Heavy Construction Machinery,2026-03-25
ADANIENSOL.NS,1178591690752.0,Utilities,Utilities - Independent Power Producers,2026-03-25
ADANIENT.NS,2599930822656.0,Energy,Thermal Coal,2026-03-25
ADANIGREEN.NS,1422748418048.0,Utilities,Utilities - Renewable,2026-03-25
ADANIPORTS.NS,3190061531136.0,Industrials,Marine Shipping,2026-03-25
ADANIPOWER.NS,2973329260544.0,Utilities,Utilities - Independent Power Producers,2026-03-25
ATGL.NS,578861334528.0,Utilities,Utilities - Regulated Gas,2026-03-25
ABCAPITAL.NS,820853538816.0,Financial Services,Financial Conglomerates,2026-03-25
ABFRL.NS,72606171136.0,Consumer Cyclical,Apparel Manufacturing,2026-03-25
ABLBL.NS,114528460800.0,Consumer Cyclical,Apparel Retail,2026-03-25
ABREL.NS,130094948352.0,Real Estate,Real Estate Services,2026-03-25
ABSLAMC.NS,270510342144.0,Financial Services,Asset Management,2026-03-25
AEGISLOG.NS,216882905088.0,Energy,Oil & Gas Refining & Marketing,2026-03-25
AEGISVOPAK.NS,195361079296.0,Energy,Oil & Gas Equipment & Services,2026-03-25
AFCONS.NS,105517408256.0,Industrials,Engineering & Construction,2026-03-25
AFFLE.NS,195674587136.0,Communication Services,Advertising Agencies,2026-03-25
AJANTPHARM.NS,365789839360.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
AKUMS.NS,75230511104.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
AKZOINDIA.NS,132372021248.0,Basic Materials,Specialty Chemicals,2026-03-25
APLLTD.NS,135001513984.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
ALKEM.NS,651689000960.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
ALKYLAMINE.NS,71197630464.0,Basic Materials,Specialty Chemicals,2026-03-25
ALOKINDS.NS,64448815104.0,Consumer Cyclical,Textile Manufacturing,2026-03-25
ARE&M.NS,134538436608.0,Industrials,Electrical Equipment & Parts,2026-03-25
AMBER.NS,237790101504.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2026-03-25
AMBUJACEM.NS,1048053088256.0,Basic Materials,Building Materials,2026-03-25
ANANDRATHI.NS,249152339968.0,Financial Services,Asset Management,2026-03-25
ANANTRAJ.NS,166588334080.0,Real Estate,Real Estate - Development,2026-03-25
ANGELONE.NS,218309591040.0,Financial Services,Capital Markets,2026-03-25
APARINDS.NS,403505184768.0,Industrials,Electrical Equipment & Parts,2026-03-25
APOLLOHOSP.NS,1089887666176.0,Healthcare,Medical Care Facilities,2026-03-25
APOLLOTYRE.NS,263746863104.0,Consumer Cyclical,Auto Parts,2026-03-25
APTUS.NS,103834009600.0,Financial Services,Mortgage Finance,2026-03-25
ASAHIINDIA.NS,213896658944.0,Consumer Cyclical,Auto Parts,2026-03-25
ASHOKLEY.NS,1009715576832.0,Industrials,Farm & Heavy Construction Machinery,2026-03-25
ASIANPAINT.NS,2192113532928.0,Basic Materials,Specialty Chemicals,2026-03-25
ASTERDM.NS,335545958400.0,Healthcare,Medical Care Facilities,2026-03-25
ASTRAZEN.NS,209274994688.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
ASTRAL.NS,447490588672.0,Industrials,Building Products & Equipment,2026-03-25
ATHERENERG.NS,301733019648.0,Consumer Cyclical,Auto Manufacturers,2026-03-25
ATUL.NS,184055136256.0,Basic Materials,Specialty Chemicals,2026-03-25
AUROPHARMA.NS,770607611904.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
AIIL.NS,443125825536.0,Financial Services,Capital Markets,2026-03-25
DMART.NS,2548140605440.0,Consumer Defensive,Discount Stores,2026-03-25
AXISBANK.NS,3836495003648.0,Financial Services,Banks - Regional,2026-03-25
BASF.NS,150309388288.0,Basic Materials,Specialty Chemicals,2026-03-25
BEML.NS,125671858176.0,Industrials,Conglomerates,2026-03-25
BLS.NS,110724317184.0,Industrials,Specialty Business Services,2026-03-25
BSE.NS,1161610395648.0,Financial Services,Financial Data & Stock Exchanges,2026-03-25
BAJAJ-AUTO.NS,2552368201728.0,Consumer Cyclical,Auto Manufacturers,2026-03-25
BAJFINANCE.NS,5473181368320.0,Financial Services,Credit Services,2026-03-25
BAJAJFINSV.NS,2802010030080.0,Financial Services,Financial Conglomerates,2026-03-25
BAJAJHLDNG.NS,1070198423552.0,Financial Services,Asset Management,2026-03-25
BAJAJHFL.NS,666209681408.0,Financial Services,Mortgage Finance,2026-03-25
BALKRISIND.NS,416211894272.0,Consumer Cyclical,Auto Parts,2026-03-25
BALRAMCHIN.NS,102649978880.0,Consumer Defensive,Confectioners,2026-03-25
BANDHANBNK.NS,249056329728.0,Financial Services,Banks - Regional,2026-03-25
BANKBARODA.NS,1422641856512.0,Financial Services,Banks - Regional,2026-03-25
BANKINDIA.NS,685176455168.0,Financial Services,Banks - Regional,2026-03-25
MAHABANK.NS,513026686976.0,Financial Services,Banks - Regional,2026-03-25
BATAINDIA.NS,84796039168.0,Consumer Cyclical,Footwear & Accessories,2026-03-25
BAYERCROP.NS,205340639232.0,Basic Materials,Agricultural Inputs,2026-03-25
BERGEPAINT.NS,497979293696.0,Basic Materials,Specialty Chemicals,2026-03-25
BDL.NS,434046631936.0,Industrials,Aerospace & Defense,2026-03-25
BEL.NS,3050005331968.0,Industrials,Aerospace & Defense,2026-03-25
BHARATFORG.NS,824702926848.0,Consumer Cyclical,Auto Parts,2026-03-25
BHEL.NS,924836036608.0,Industrials,Specialty Industrial Machinery,2026-03-25
BPCL.NS,1230183202816.0,Energy,Oil & Gas Refining & Marketing,2026-03-25
BHARTIARTL.NS,11207090110464.0,Communication Services,Telecom Services,2026-03-25
BHARTIHEXA.NS,798049959936.0,Communication Services,Telecom Services,2026-03-25
BIKAJI.NS,156873883648.0,Consumer Defensive,Packaged Foods,2026-03-25
BIOCON.NS,618341662720.0,Healthcare,Biotechnology,2026-03-25
BSOFT.NS,98337243136.0,Technology,Information Technology Services,2026-03-25
BLUEDART.NS,120324349952.0,Industrials,Integrated Freight & Logistics,2026-03-25
BLUEJET.NS,61918486528.0,Healthcare,Biotechnology,2026-03-25
BLUESTARCO.NS,358899875840.0,Industrials,Building Products & Equipment,2026-03-25
BBTC.NS,100548288512.0,Consumer Defensive,Packaged Foods,2026-03-25
BOSCHLTD.NS,899076849664.0,Consumer Cyclical,Auto Parts,2026-03-25
FIRSTCRY.NS,109370073088.0,Consumer Cyclical,Internet Retail,2026-03-25
BRIGADE.NS,160795754496.0,Real Estate,Real Estate - Development,2026-03-25
BRITANNIA.NS,1368131895296.0,Consumer Defensive,Packaged Foods,2026-03-25
MAPMYINDIA.NS,48811724800.0,Technology,Software - Infrastructure,2026-03-25
CCL.NS,145182539776.0,Consumer Defensive,Packaged Foods,2026-03-25
CESC.NS,202348314624.0,Utilities,Utilities - Regulated Electric,2026-03-25
CGPOWER.NS,1076692451328.0,Industrials,Electrical Equipment & Parts,2026-03-25
CRISIL.NS,292763729920.0,Financial Services,Financial Data & Stock Exchanges,2026-03-25
CAMPUS.NS,71524089856.0,Consumer Cyclical,Footwear & Accessories,2026-03-25
CANFINHOME.NS,112802734080.0,Financial Services,Mortgage Finance,2026-03-25
CANBK.NS,1243677065216.0,Financial Services,Banks - Regional,2026-03-25
CAPLIPOINT.NS,123628331008.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
CGCL.NS,162748334080.0,Financial Services,Credit Services,2026-03-25
CARBORUNIV.NS,149289336832.0,Industrials,Conglomerates,2026-03-25
CASTROLIND.NS,176311058432.0,Energy,Oil & Gas Refining & Marketing,2026-03-25
CEATLTD.NS,143321317376.0,Consumer Cyclical,Auto Parts,2026-03-25
CENTRALBK.NS,308274462720.0,Financial Services,Banks - Regional,2026-03-25
CDSL.NS,256213106688.0,Financial Services,Capital Markets,2026-03-25
CENTURYPLY.NS,155998765056.0,Basic Materials,Lumber & Wood Production,2026-03-25
CERA.NS,61431586816.0,Industrials,Building Products & Equipment,2026-03-25
CHALET.NS,161267286016.0,Consumer Cyclical,Lodging,2026-03-25
CHAMBLFERT.NS,171759616000.0,Basic Materials,Agricultural Inputs,2026-03-25
CHENNPETRO.NS,151997693952.0,Energy,Oil & Gas Refining & Marketing,2026-03-25
CHOICEIN.NS,145955389440.0,Financial Services,Capital Markets,2026-03-25
CHOLAHLDNG.NS,265530376192.0,Financial Services,Credit Services,2026-03-25
CHOLAFIN.NS,1255817609216.0,Financial Services,Credit Services,2026-03-25
CIPLA.NS,1001488973824.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
CUB.NS,184127111168.0,Financial Services,Banks - Regional,2026-03-25
CLEAN.NS,76488925184.0,Basic Materials,Specialty Chemicals,2026-03-25
COALINDIA.NS,2742414213120.0,Energy,Thermal Coal,2026-03-25
COCHINSHIP.NS,350810406912.0,Industrials,Aerospace & Defense,2026-03-25
COFORGE.NS,384615514112.0,Technology,Information Technology Services,2026-03-25
COHANCE.NS,117407121408.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
COLPAL.NS,518594985984.0,Consumer Defensive,Household & Personal Products,2026-03-25
CAMS.NS,161467891712.0,Technology,Information Technology Services,2026-03-25
CONCORDBIO.NS,110035329024.0,Healthcare,Biotechnology,2026-03-25
CONCOR.NS,340633616384.0,Industrials,Railroads,2026-03-25
COROMANDEL.NS,593444864000.0,Basic Materials,Agricultural Inputs,2026-03-25
CRAFTSMAN.NS,168348860416.0,Consumer Cyclical,Auto Parts,2026-03-25
CREDITACC.NS,188819406848.0,Financial Services,Credit Services,2026-03-25
CROMPTON.NS,159118393344.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",2026-03-25
CUMMINSIND.NS,1310047207424.0,Industrials,Specialty Industrial Machinery,2026-03-25
CYIENT.NS,89921642496.0,Industrials,Conglomerates,2026-03-25
DCMSHRIRAM.NS,173579173888.0,Industrials,Conglomerates,2026-03-25
DLF.NS,1324278087680.0,Real Estate,Real Estate - Development,2026-03-25
DOMS.NS,142277246976.0,Industrials,Business Equipment & Supplies,2026-03-25
DABUR.NS,777319677952.0,Consumer Defensive,Household & Personal Products,2026-03-25
DALBHARAT.NS,349982818304.0,Basic Materials,Building Materials,2026-03-25
DATAPATTNS.NS,181970288640.0,Industrials,Aerospace & Defense,2026-03-25
DEEPAKFERT.NS,126150508544.0,Basic Materials,Chemicals,2026-03-25
DEEPAKNTR.NS,187472232448.0,Basic Materials,Chemicals,2026-03-25
DELHIVERY.NS,321889468416.0,Industrials,Integrated Freight & Logistics,2026-03-25
DEVYANI.NS,127066767360.0,Consumer Cyclical,Restaurants,2026-03-25
DIVISLAB.NS,1614712668160.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
DIXON.NS,634486128640.0,Technology,Consumer Electronics,2026-03-25
AGARWALEYE.NS,133043322880.0,Healthcare,Medical Instruments & Supplies,2026-03-25
LALPATHLAB.NS,224178585600.0,Healthcare,Diagnostics & Research,2026-03-25
DRREDDY.NS,1079787454464.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
EIDPARRY.NS,144672751616.0,Basic Materials,Agricultural Inputs,2026-03-25
EIHOTEL.NS,191080005632.0,Consumer Cyclical,Lodging,2026-03-25
EICHERMOT.NS,1931034886144.0,Consumer Cyclical,Auto Manufacturers,2026-03-25
ELECON.NS,87628177408.0,Industrials,Specialty Industrial Machinery,2026-03-25
ELGIEQUIP.NS,153916768256.0,Industrials,Specialty Industrial Machinery,2026-03-25
EMAMILTD.NS,180880883712.0,Consumer Defensive,Household & Personal Products,2026-03-25
EMCURE.NS,303722463232.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
ENDURANCE.NS,329151053824.0,Consumer Cyclical,Auto Parts,2026-03-25
ENGINERSIN.NS,110242267136.0,Industrials,Engineering & Construction,2026-03-25
ERIS.NS,184248172544.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
ESCORTS.NS,325552930816.0,Industrials,Farm & Heavy Construction Machinery,2026-03-25
ETERNAL.NS,2203134722048.0,Consumer Cyclical,Internet Retail,2026-03-25
EXIDEIND.NS,263402700800.0,Consumer Cyclical,Auto Parts,2026-03-25
NYKAA.NS,704217743360.0,Consumer Cyclical,Internet Retail,2026-03-25
FEDERALBNK.NS,671720538112.0,Financial Services,Banks - Regional,2026-03-25
FACT.NS,520084127744.0,Basic Materials,Agricultural Inputs,2026-03-25
FINCABLES.NS,127887884288.0,Industrials,Electrical Equipment & Parts,2026-03-25
FINPIPE.NS,101112872960.0,Industrials,Building Products & Equipment,2026-03-25
FSL.NS,154309214208.0,Technology,Information Technology Services,2026-03-25
FIVESTAR.NS,117262655488.0,Financial Services,Credit Services,2026-03-25
FORCEMOT.NS,288889536512.0,Consumer Cyclical,Auto Manufacturers,2026-03-25
FORTIS.NS,627294732288.0,Healthcare,Medical Care Facilities,2026-03-25
GAIL.NS,915448266752.0,Utilities,Utilities - Regulated Gas,2026-03-25
GVT&D.NS,946450333696.0,Industrials,Specialty Industrial Machinery,2026-03-25
GMRAIRPORT.NS,959916539904.0,Industrials,Airports & Air Services,2026-03-25
GRSE.NS,252513943552.0,Industrials,Aerospace & Defense,2026-03-25
GICRE.NS,640531431424.0,Financial Services,Insurance - Reinsurance,2026-03-25
GILLETTE.NS,255077072896.0,Consumer Defensive,Household & Personal Products,2026-03-25
GLAND.NS,283035041792.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
GLAXO.NS,396545654784.0,Healthcare,Drug Manufacturers - General,2026-03-25
GLENMARK.NS,610723168256.0,Healthcare,Drug Manufacturers - Specialty & Generic,2026-03-25
MEDANTA.NS,276972732416.0,Healthcare,Medical Care Facilities,2026-03-25
