symbol,ticker,company_name,industry_constituent,market_cap,sector,industry,meta_updated_at,date,open,high,low,close,prev_close,pct_change,volume,avg_volume_20,unusual_volume_ratio,volatility_20d_pct,move_vs_vol
360ONE,360ONE.NS,360 ONE WAM Ltd.,Financial Services,417075101696.0,Financial Services,Asset Management,2026-03-14,2026-03-16,1025.0,1038.9000244140625,1010.2999877929688,1022.9000244140625,1027.4000244140625,-0.43799882159496484,331156.0,739369.9,0.44788947994772305,1.4804805680598494,0.29584908511764973
3MINDIA,3MINDIA.NS,3M India Ltd.,Diversified,371578339328.0,Industrials,Conglomerates,2026-03-14,2026-03-16,32985.0,33100.0,32005.0,32970.0,32985.0,-0.045475216007273556,7965.0,4225.05,1.8851847907125359,2.2351140429457983,0.020345814635632144
ABB,ABB.NS,ABB India Ltd.,Capital Goods,1354702913536.0,Industrials,Specialty Industrial Machinery,2026-03-14,2026-03-16,6400.0,6417.0,6162.5,6218.0,6392.5,-2.729761439186551,371083.0,603801.75,0.6145775496675854,2.176179434640954,1.254382518157071
ACC,ACC.NS,ACC Ltd.,Construction Materials,258470395904.0,Basic Materials,Building Materials,2026-03-14,2026-03-16,1377.0,1386.0999755859375,1361.800048828125,1373.199951171875,1376.4000244140625,-0.23249587223378443,278228.0,180240.9,1.5436451992860667,1.3406581220079392,0.17341920987698878
ACMESOLAR,ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power,154892451840.0,Utilities,Utilities - Renewable,2026-03-14,2026-03-16,255.4499969482422,260.0,242.0,244.88999938964844,255.61000061035156,-4.193889595518819,2067931.0,1269210.9,1.6293044757179442,2.775479514591143,1.5110504593785923
AIAENG,AIAENG.NS,AIA Engineering Ltd.,Capital Goods,342047162368.0,Industrials,Specialty Industrial Machinery,2026-03-14,2026-03-16,3650.0,3711.60009765625,3593.199951171875,3665.60009765625,3665.300048828125,0.008186200969295676,35375.0,40608.6,0.871120895573844,2.041330827162033,0.0040102274753164675
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,536852168704.0,Basic Materials,Steel,2026-03-14,2026-03-16,1921.5999755859375,1937.699951171875,1872.0999755859375,1893.699951171875,1933.199951171875,-2.0432444132877037,667915.0,693201.05,0.9635227759680975,1.8069227102626415,1.1307868353653667
AUBANK,AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,660769275904.0,Financial Services,Banks - Regional,2026-03-14,2026-03-16,880.5999755859375,899.2999877929688,868.75,885.2999877929688,884.3499755859375,0.107424914712273,1859379.0,3873334.75,0.4800460378489104,2.0776285919699253,0.05170554310210804
AWL,AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods,224130220032.0,Consumer Defensive,Packaged Foods,2026-03-14,2026-03-16,173.0,175.9600067138672,171.19000244140625,172.3000030517578,172.88999938964844,-0.3412553299632637,2928899.0,3936594.45,0.7440184751568707,1.3280306843548728,0.25696343765508534
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,199803944960.0,Financial Services,Mortgage Finance,2026-03-14,2026-03-16,457.95001220703125,481.79998779296875,451.25,478.75,459.75,4.132680804785216,429398.0,581393.35,0.738567099193687,2.5241416497911393,1.6372618411201985
AARTIIND,AARTIIND.NS,Aarti Industries Ltd.,Chemicals,152792727552.0,Basic Materials,Specialty Chemicals,2026-03-14,2026-03-16,420.95001220703125,429.3500061035156,412.6499938964844,425.1499938964844,420.75,1.0457501833593286,1349200.0,870293.65,1.5502813332028793,2.562916551090592,0.4080313043802901
AAVAS,AAVAS.NS,Aavas Financiers Ltd.,Financial Services,92638658560.0,Financial Services,Mortgage Finance,2026-03-14,2026-03-16,1159.5,1164.300048828125,1121.0,1128.0999755859375,1169.800048828125,-3.564718028859848,321121.0,206907.15,1.552005331860209,1.468136789199647,2.4280557881824825
